title,salary,region,degree,exper,company,industry,detail
招聘图像算法工程师,19-38万,成都-高新区,统招本科,1年以上,某集团,医疗设备/器械,               任职要求:1、数学、计算机、物理等相关专业，本科以及上，算法相关工作一年以上工作经验2、熟悉python开发，熟悉C++、Matla等更佳；3、熟悉机器学习相关理论；4、熟悉tensoflow、mxnet、pytoch、caffe等框架至少一种；5、跟踪前沿技术，熟练阅读英文论文；6、熟悉传统图像处理的优先；7、有人脸识别、车牌识别等物体检测相关项目工作经验优先；8、有模型压缩、网络优化的优先；工作内容:1、对图像相关的实际问题建模，模型训练与性能优化。2、模型部署，提供对外服务；3、线上产品跟踪优化；4、前沿科技成果追踪，提高产品质量与性能；            
招聘算法工程师,23-41万,苏州,本科及以上,2年以上,某医疗企业,互联网/移动互联网/电子商务,"               职位描述：1. 负责医学图像3维融合,配准相关算法的研究，实现和改进；2. 负责机械手的视觉引导（根据传感器摄像头的反馈，将机械手调整为合适的位姿）相关算法的研究，实现和改进。岗位要求：1. 2年以上图像算法研究开发经验，具有较好的算法工程化能力。有医学图像处理，3维图像配准，或机械手视觉引导相关工作经验者优先。2. 熟练使用C++或C#。熟练使用opencv者优先。3. 有较强的团队合作意识，有较好的数学基础和学习能力。有机器学习，深度学习相关经验者优先            "
招聘高级推荐算法工程师,24-42万,柬埔寨,本科及以上,5年以上,北京天盛京享科技有限公司,汽车/摩托车,工作职责：1.负责移动端后台多个个性化场景的算法设计和实现，用推荐产品技术来提升用户体验和活跃度；2.应用机器学习、自然语言处理等技术，基于海量用户日志和内容，建立用户画像，构建内容质量及内容标签体系；3.以数据挖掘和数据分析为基础，发现新的产品改进点，驱动产品改进，探索新的产品形态；4.跟踪业界最新的机器学习算法和研究趋势，并将其应用于实际的生产环境。任职资格：1.熟练掌握Python、Java等其中的一种或几种编程语言，熟练使用数据结构和常用算法，有较强的算法设计和实现能力；2.熟悉自然语言处理、机器学习、模式识别等常用算法，并进行过相关的实践；3.较强的技术攻关能力，能够跟进领域内新技术研究成果，并结合应用场景快速实验和调优；4.有3年以上推荐、anking、NLP、文本挖掘等方向的实际工程和项目经验；5.具备良好的团队合作精神和沟通意识。6.熟悉hadoop、Spak等分布式计算系统，了解hive、kafka、amai工具者优先；7.有深度学习等机器学习前沿方向的研究经历；8.有较强的产品意识，有出色的沟通能力，能够独立推动项目进展；9.具有良好的数学基础和数据分析能力，对数据敏感。                        
招聘研发工程师（推荐算法）,28-56万,上海,统招本科,3年以上,互联网潮流文化社区,互联网/移动互联网/电子商务,"               工作职责负责哔哩哔哩个性化推荐算法研发，通过优化模型、算法和策略机制，提升用户体验，提高内容分发效率跟踪学习相关领域前沿进展，实现技术突破和业务落地职位要求3年以上推荐广告搜索算法的工作经验，对相应系统和技术问题有充分理解具备扎实的算法基础和优秀的编码能力具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于解决问题和分析问题算法与编程能力强，ACMICPC,NOIIOI，Topcode，kaggle比赛获奖者优先            "
招聘资深搜索算法工程师,28-56万,上海,统招本科,3年以上,互联网潮流文化社区,互联网/移动互联网/电子商务,               工作职责搜索引擎相关策略的开发工作，包括但不限于quey解析、相关性、CTR优化等；特征工程等包括但不限于海量数据挖掘、结构化数据解析、特征提取、特征分析等算法的开发，理解用户数据分析和挖掘应用场景，抽象为数据产品需求，不断完善基础特征建设；NLP相关工作，包括但不限于语义理解、内容结构化、核心词抽取、知识图谱的构建和应用。职位要求热爱互联网，对搜索技术、探索未知领域有浓厚的兴趣；熟悉数据挖掘相关算法神经网络、决策树、SVM、聚类、逻辑回归、贝叶斯，有扎实的基本功和良好的逻辑思维能力熟悉NLP技术，有深度学习相关工作者优先            
招聘研发工程师-并行算法方向,45-60万,"上海,北京",本科及以上,5年以上,互联网潮流文化社区,互联网/移动互联网/电子商务,               工作职责：根据具体业务场景，调研并实现各类大规模分布式算法基于开源系统，研发适用于iliili的新型并行计算引擎基于计算引擎，处理海量数据，开发相关业务场景功能职位要求：精通CC++精通常见数据结构和算法精通各种分布式算法熟悉hadoopflink等开源技术。 了解常见的机器学习数据挖掘算法加分项： 1、在开源社区活跃2、了解GPU编程3、有大数据开发及集群管理经验            
招聘定位与高精度地图算法工程师,35-70万,北京-朝阳区,统招本科,3年以上,国内知名自动驾驶企业,电子技术/半导体/集成电路,"               岗位职责：1、使用多源传感器（包括但不限于视觉与LiDAR）开发基于不同依据的高精度定位模块，用于自动驾驶中分米级别的高精度定位；2、使用视觉和Lida技术建立以上定位模块使用的高精度地图；3、综合使用相关知识，完成大规模自动化的多源传感器标定（包括但不限于相机、LiDAR、IMU）。任职要求：1、了解计算机视觉中基本的几何知识；2、了解常用vSLAM，VOVIO或LiDAR SLAM算法，有实际动手或项目经验；3、了解常用滤波算法，并可以灵活运用解决实际问题；4、熟悉Python, C++，有很强的动手能力。            "
招聘算法移植优化工程师（中级）,36-60万,深圳-南山区,本科及以上,3年以上,深圳市芊熠智能硬件有限公司,电子技术/半导体/集成电路,岗位职责：负责将自研图像算法移植到各类嵌入式平台，并基于平台特性降低算法耗时和资源占用。任职要求：1、本科及以上学历；2、具有三年及以上ARMNEON、DSP或相关平台的移植优化工作经验；3、熟练掌握C、汇编语言编程；4、熟悉计算机视觉、图像处理、模式识别、深度学习领域等相关知识者优先；5、有linux或嵌入式开发经验者优先考虑；6、具备良好的沟通表达能力和团队合作意识。注意：无算法移植优化经验慎投。                        
招聘视频智能算法工程师（中级）,36-60万,深圳-南山区,硕士及以上,3年以上,深圳市芊熠智能硬件有限公司,电子技术/半导体/集成电路,岗位职责：负责视频图像相关智能算法的调研、设计和开发工作。任职要求：1、硕士及以上学历，模式识别数学计算机信息类相关专业，三年以上视频图像算法开发经验；2、熟练掌握CC++、Python等编程语言3、熟悉深度学习理论以及常用神经网络模型VGG、ResNet等；4、熟练使用常用深度学习框架MXNet、TensoFlow、Pytoch、Caffe中一种；5、具备良好的沟通表达能力和团队合作意识；6、符合以下某一条件者优先：  1）至少熟悉目标检测、人脸识别、OCR，车牌识别等方向中一种，并有相关项目经验；  2）参加过深度学习相关的国际评测，并取得一定名次者注意：无算法开发经验慎投。                        
招聘视频智能算法工程师,24-36万,深圳-南山区,硕士及以上,1年以上,深圳市芊熠智能硬件有限公司,电子技术/半导体/集成电路,岗位职责：负责视频图像相关智能算法的调研、设计和开发工作。任职要求：1、硕士及以上学历，模式识别数学计算机信息类相关专业，一年以上算法开发经验；2、熟练掌握CC++、Python等编程语言3、熟悉深度学习理论以及常用神经网络模型VGG、ResNet等；4、熟练使用常用深度学习框架MXNet、TensoFlow、Pytoch、Caffe中一种；5、具备良好的沟通表达能力和团队合作意识；6、符合以下某一条件者优先：  1）至少熟悉目标检测、人脸识别、OCR，车牌识别等方向中一种，并有相关项目经验；  2）参加过深度学习相关的国际评测，并取得一定名次者                        
招聘算法移植优化工程师,18-36万,深圳,硕士及以上,2年以上,深圳市芊熠智能硬件有限公司,电子技术/半导体/集成电路,岗位职责：负责将自研图像算法移植到各类嵌入式平台，并基于平台特性降低算法耗时和资源占用。任职要求：1、本科及以上学历；2、具有一年及以上ARMNEON、DSP或相关平台的移植优化工作经验；3、熟练掌握C、汇编语言编程；4、熟悉计算机视觉、图像处理、模式识别、深度学习领域等相关知识者优先；5、有linux或嵌入式开发经验者优先考虑；6、具备良好的沟通表达能力和团队合作意识。                        
招聘算法工程师,18-24万,上海-闵行区,统招本科,3年以上,某网络科技公司,互联网/移动互联网/电子商务,"               1. 本科或本科以上学历，计算机相关专业毕业2. 熟悉数据结构，操作系统，计算机原理3. 对数理逻辑算法有浓厚的兴趣，逻辑思维清晰严谨4. 熟悉激光雷达、陀螺仪、里程计、构建机器人运动模型，观测模型等概率学模型；5. 掌握机器人 SLAM 基本理论和算法；6. 熟悉机器人自主避障、路径规划、及运动规划的相关算法；7. 熟悉基于视觉、激光、超声波、陀螺仪等多传感器融合的室内导航算法；8. 具备扎实的 C++语言基础和相关计算机语言编程能力优先9. 熟悉 ROS，有 ROS 开发经验优先,熟悉 catogaphe 优先            "
招聘ADAS 高级算法工程师,面议,广州,本科及以上,3年以上,恩英汽车科技(上海)有限公司,汽车/摩托车,"【wok content】：• Wok togethe with algoithmfeatue Enginees on algoithmfeatues equiements, develop & define the optimum featuesalgoithm solution fo integation into the active safety system pe ***’s system design intent accoding to the ADAS oadmap.根据ADAS路线图的要求，与算法特性工程师合作，开发定义以及优化算法解决方案；• Define euse stategy of featue algoithm on custome pojects.根据合作伙伴方要求重新定义算法特征；• Popose and implement paamete and logic impovements fo the algoithmfeatues检测跟踪算法参数；• To suppot algoithmfeatues Enginee fo the pefomance checkdeug on vehicle in tems of algoithm与其它算法工程师合作，对车辆进行性能检查调试；• Wok closely with poduct assuance team to eview test cases；与测试团队人员合作检测算法参数；• Regulaly epot status and deviations delay, pocess deviations to all stakeholdes.定期反馈在算法方面的偏差；【jo equiements】：Expeience minimum 2 yeas 2 to 10 yeas ok；至少两年相关行业的经验，有完整的ADAS相关项目经验者优先考虑；【TechnologiesTask】: focus on ADASHAD L2L3 featue adapt development with on Sweden platfom pe-development ase发展方向：会侧重于ADASL2-L3方向发展；【Team】: new ADS team setup ased on oiginal RadaVision team基于原有的ADAS--算法--中的摄像头雷达团队的基础上组建新的team；【Mission】 :Focus on ADAS o HAD algoithm development algoithm logic as well as validate and analyze the system algoithm pefomance in eal wold envionment following V cycle development pocess【Poject detail】: HAD Level3 TJP taffic jam pilot poject                         "
招聘ADAS 高级算法工程师,面议,上海,本科及以上,3年以上,恩英汽车科技(上海)有限公司,汽车/摩托车,"【wok content】：• Wok togethe with algoithmfeatue Enginees on algoithmfeatues equiements, develop & define the optimum featuesalgoithm solution fo integation into the active safety system pe ***’s system design intent accoding to the ADAS oadmap.根据ADAS路线图的要求，与算法特性工程师合作，开发定义以及优化算法解决方案；• Define euse stategy of featue algoithm on custome pojects.根据合作伙伴方要求重新定义算法特征；• Popose and implement paamete and logic impovements fo the algoithmfeatues检测跟踪算法参数；• To suppot algoithmfeatues Enginee fo the pefomance checkdeug on vehicle in tems of algoithm与其它算法工程师合作，对车辆进行性能检查调试；• Wok closely with poduct assuance team to eview test cases；与测试团队人员合作检测算法参数；• Regulaly epot status and deviations delay, pocess deviations to all stakeholdes.定期反馈在算法方面的偏差；【jo equiements】：Expeience minimum 2 yeas 2 to 10 yeas ok；至少两年相关行业的经验，有完整的ADAS相关项目经验者优先考虑；【TechnologiesTask】: focus on ADASHAD L2L3 featue adapt development with on Sweden platfom pe-development ase发展方向：会侧重于ADASL2-L3方向发展；【Team】: new ADS team setup ased on oiginal RadaVision team基于原有的ADAS--算法--中的摄像头雷达团队的基础上组建新的team；【Mission】 :Focus on ADAS o HAD algoithm development algoithm logic as well as validate and analyze the system algoithm pefomance in eal wold envionment following V cycle development pocess【Poject detail】: HAD Level3 TJP taffic jam pilot poject                         "
